"householdID","est_inc_USD","est_netw_USD","hhold_field","hhold_oldest","hhold_pax","hhold_youngest","homeState","hhold_car","stream_subs","primary"
1,113831,418044,"Finance",45,4,12,"Maine","LuxurySedan",5,"consume"
2,66441,454233,"Tech",44,4,11,"Maine","LuxurySedan",1,"entertain"
3,160024,602594,"Finance",38,2,6,"Vermont","LuxurySedan",2,"consume"
4,82985,473262,"Govt",39,3,8,"Massachusetts","LuxurySedan",4,"entertain"
5,109369,527138,"Finance",43,5,5,"Massachusetts","SUV",3,"consume"
6,148511,529589,"Tech",43,3,13,"New York","SUV",3,"consume"
7,115540,468408,"Education",40,7,10,"US_Other","LuxurySedan",5,"consume"
8,146359,539293,"Finance",48,4,14,"Maine","SUV",4,"consume"
9,66810,495405,"Govt",49,3,11,"US_Other","SUV",5,"entertain"
10,56540,402658,"Govt",37,3,10,"Quebec","LuxurySedan",6,"consume"
11,59735,390469,"Education",51,2,16,"Vermont","Sedan",5,"entertain"
12,87005,441571,"Education",43,2,17,"Maine","LuxurySedan",1,"consume"
13,86713,502743,"Education",48,4,12,"Vermont","SUV",6,"consume"
14,67443,365130,"Services",47,4,13,"New Hampshire","LuxurySedan",4,"consume"
15,159780,606164,"Finance",43,5,10,"US_Other","LuxurySedan",6,"entertain"
16,116217,462786,"Govt",41,6,11,"Quebec","Pickup",4,"entertain"
17,119955,413266,"Manufacturing",54,1,54,"Maine","LuxurySedan",4,"consume"
18,126468,533048,"Finance",51,3,12,"Quebec","Pickup",6,"entertain"
19,124864,584602,"Education",43,4,14,"Massachusetts","Sedan",7,"consume"
20,108026,568825,"Services",42,3,7,"Maine","Compact/Hybrid",5,"entertain"
21,81076,473349,"Services",41,4,16,"Maine","Pickup",5,"entertain"
22,127363,506055,"Finance",46,6,13,"Maine","Sedan",6,"entertain"
23,59245,381931,"Govt",48,2,8,"New York","SUV",2,"consume"
24,67741,337417,"Tech",47,6,9,"Maine","Sedan",6,"consume"
25,126972,392180,"Other",47,1,47,"Maine","LuxurySedan",4,"entertain"
26,43021,349514,"Govt",44,4,12,"Maine","SUV",5,"consume"
27,116628,457159,"Tech",51,5,21,"New Hampshire","SUV",3,"entertain"
28,138169,597751,"Govt",42,4,15,"Maine","Compact/Hybrid",2,"entertain"
29,93995,416789,"Services",47,3,23,"Quebec","SUV",4,"entertain"
30,122449,429560,"Finance",46,4,18,"New Hampshire","SUV",3,"consume"
31,80703,395121,"Finance",46,3,10,"Maine","SUV",3,"consume"
32,126941,470458,"Finance",49,6,18,"US_Other","SUV",7,"entertain"
33,76955,347323,"Education",51,4,18,"New York","Sedan",5,"entertain"
34,81661,428421,"Tech",41,5,10,"Maine","SUV",5,"entertain"
35,120452,387177,"Tech",40,2,22,"Maine","SUV",6,"consume"
36,65835,394803,"Services",50,4,13,"Vermont","Pickup",3,"entertain"
37,91706,356000,"Finance",36,3,16,"Maine","LuxurySedan",2,"entertain"
38,70776,473512,"Education",46,2,13,"Vermont","Pickup",4,"consume"
39,112933,515559,"Finance",46,4,15,"Maine","LuxurySedan",2,"consume"
40,115649,443788,"Finance",44,7,7,"Vermont","Pickup",1,"consume"
41,132483,429296,"Tech",54,2,11,"Massachusetts","SUV",3,"entertain"
42,90423,460305,"Govt",50,3,13,"Maine","Compact/Hybrid",4,"consume"
43,123489,513830,"Tech",39,3,2,"Connecticut","SUV",6,"entertain"
44,83444,488210,"Education",51,7,12,"Maine","SUV",3,"consume"
45,127656,522318,"Finance",45,4,12,"Vermont","Sedan",2,"entertain"
46,127343,484326,"Finance",51,2,14,"Ontario","SUV",3,"entertain"
47,116139,465024,"Finance",41,6,9,"Maine","Sedan",3,"consume"
48,72195,417710,"Finance",55,6,12,"New Hampshire","SUV",3,"consume"
49,87520,420813,"Other",47,4,13,"Quebec","Sedan",5,"entertain"
50,94310,623058,"Services",48,3,14,"New Hampshire","LuxurySedan",4,"entertain"
51,121400,514094,"Tech",51,2,13,"Maine","Sedan",0,"entertain"
52,71652,390318,"Tech",48,3,14,"Connecticut","SUV",4,"consume"
53,127582,522192,"Finance",52,5,11,"New York","LuxurySedan",3,"entertain"
54,133695,518933,"Services",48,3,16,"New York","Pickup",4,"consume"
55,101269,464513,"Tech",51,5,12,"New Hampshire","SUV",3,"entertain"
56,82703,532263,"Govt",45,5,18,"Maine","LuxurySedan",6,"entertain"
57,81673,547402,"Govt",44,2,14,"New York","SUV",0,"consume"
58,97106,487449,"Finance",45,6,11,"Maine","LuxurySedan",5,"entertain"
59,84611,463270,"Govt",42,3,11,"New Hampshire","SUV",5,"entertain"
60,94042,426452,"Finance",51,5,13,"Maine","SUV",5,"consume"
61,96418,469808,"Finance",50,4,15,"Maine","LuxurySedan",4,"consume"
62,78423,502044,"Govt",53,4,17,"Massachusetts","Sedan",4,"consume"
63,112527,504090,"Govt",47,3,15,"Maine","Sedan",1,"consume"
64,66379,443637,"Govt",44,3,12,"Maine","Compact/Hybrid",4,"entertain"
65,65916,455602,"Services",55,4,12,"Maine","SUV",5,"entertain"
66,118845,559001,"Services",42,4,14,"Maine","LuxurySedan",3,"consume"
67,101974,459647,"Finance",43,3,13,"Ontario","SUV",5,"consume"
68,55806,372869,"Tech",46,9,11,"Maine","SUV",3,"entertain"
69,149458,541870,"Finance",40,4,14,"Maine","SUV",4,"entertain"
70,127189,510098,"Tech",41,4,10,"Maine","SUV",4,"consume"
71,96131,481217,"Govt",42,4,12,"Massachusetts","SUV",4,"entertain"
72,72124,455699,"Govt",48,2,10,"Maine","SUV",4,"entertain"
73,91463,377468,"Services",43,4,11,"Can_Other","Sedan",4,"consume"
74,89804,474089,"Education",51,5,16,"Maine","LuxurySedan",4,"consume"
75,78322,387182,"Education",45,3,13,"Maine","Sedan",5,"consume"
76,92779,529109,"Govt",51,2,14,"Maine","LuxurySedan",5,"consume"
77,84263,472499,"Services",45,2,14,"Maine","",3,"entertain"
78,156755,498311,"Manufacturing",53,3,15,"Connecticut","SUV",5,"entertain"
79,72658,367859,"Tech",38,5,9,"Maine","Sedan",3,"consume"
80,66160,384884,"Govt",43,4,13,"Maine","Compact/Hybrid",4,"entertain"
81,55168,438961,"Govt",43,4,8,"Maine","Pickup",7,"consume"
82,82303,477255,"Education",47,4,17,"Maine","Sedan",3,"consume"
83,93346,398766,"Other",42,5,14,"New York","Sedan",2,"consume"
84,109696,508605,"Education",41,6,17,"Maine","SUV",7,"entertain"
85,91104,424315,"Finance",47,6,14,"New York","SUV",6,"consume"
86,92039,502405,"Services",42,6,20,"Maine","Compact/Hybrid",4,"entertain"
87,68421,463811,"Govt",50,6,16,"Maine","SUV",4,"consume"
88,122418,570714,"Services",49,6,5,"Quebec","Sedan",4,"entertain"
89,73614,443463,"Govt",40,3,6,"Maine","LuxurySedan",1,"consume"
90,134003,502380,"Tech",52,5,19,"Maine","Compact/Hybrid",7,"consume"
91,91065,422388,"Tech",46,6,9,"Maine","SUV",3,"consume"
92,86991,545171,"Services",42,5,16,"Maine","LuxurySedan",3,"entertain"
93,113350,480284,"Finance",48,1,48,"Quebec","Sedan",7,"entertain"
94,103258,422719,"Finance",50,2,16,"Maine","SUV",5,"entertain"
95,111642,475335,"Tech",42,5,12,"Ontario","Sedan",3,"consume"
96,81538,384242,"Services",37,5,8,"Maine","LuxurySedan",3,"entertain"
97,71716,485721,"Govt",53,1,53,"Maine","LuxurySedan",3,"entertain"
98,34629,325313,"Govt",45,2,12,"Maine","Compact/Hybrid",5,"entertain"
99,113569,569842,"Services",29,4,15,"New Hampshire","SUV",6,"entertain"
100,161550,548652,"Finance",40,9,12,"Maine","LuxurySedan",2,"consume"
101,44527,287126,"Education",39,3,14,"Maine","SUV",5,"consume"
102,112054,499368,"Finance",44,4,8,"Connecticut","LuxurySedan",5,"entertain"
103,99683,461854,"Finance",44,6,15,"Maine","Compact/Hybrid",3,"consume"
104,115289,457325,"Finance",49,5,14,"Maine","Sedan",2,"entertain"
105,99885,509685,"Education",48,3,16,"Maine","Sedan",3,"consume"
106,61018,388296,"Govt",42,6,15,"Maine","",1,"entertain"
107,62945,392840,"Govt",51,1,51,"Maine","SUV",3,"entertain"
108,97616,483755,"Services",51,2,13,"Maine","Compact/Hybrid",6,"entertain"
109,73039,506639,"Govt",43,1,43,"Maine","Pickup",5,"entertain"
110,117675,548675,"Govt",46,5,16,"New York","Sedan",7,"entertain"
111,82506,428098,"Education",34,7,16,"Maine","LuxurySedan",6,"entertain"
112,89066,348174,"Tech",49,5,12,"New Hampshire","SUV",6,"consume"
113,110962,566087,"Education",40,5,18,"Quebec","SUV",3,"entertain"
114,95714,428530,"Tech",40,5,10,"Maine","Sedan",7,"consume"
115,67332,562370,"Education",42,5,17,"Massachusetts","SUV",2,"entertain"
116,25904,238609,"Education",49,4,16,"New Hampshire","LuxurySedan",6,"consume"
117,146346,608079,"Manufacturing",44,7,15,"Maine","LuxurySedan",4,"consume"
118,94769,517142,"Govt",53,2,9,"Maine","Pickup",4,"consume"
119,73011,418525,"Services",44,4,15,"Quebec","SUV",5,"entertain"
120,78714,428852,"Tech",43,6,15,"Vermont","SUV",6,"entertain"
121,106900,455702,"Tech",41,6,11,"Maine","LuxurySedan",7,"consume"
122,57541,391229,"Tech",55,3,6,"Maine","SUV",5,"consume"
123,94485,491509,"Services",45,6,15,"Maine","LuxurySedan",3,"entertain"
124,157624,619118,"Tech",58,3,14,"Maine","SUV",3,"entertain"
125,101420,423598,"Finance",46,4,14,"New Hampshire","LuxurySedan",4,"entertain"
126,89440,292354,"Finance",47,5,20,"Maine","Sedan",4,"consume"
127,139735,549648,"Finance",46,4,22,"New Hampshire","Sedan",7,"entertain"
128,67734,452695,"Govt",53,4,18,"Maine","Sedan",3,"consume"
129,118451,574797,"Govt",56,6,18,"Maine","Compact/Hybrid",4,"entertain"
130,102231,423249,"Finance",47,5,13,"Maine","SUV",4,"consume"
131,120295,416105,"Finance",47,5,14,"Maine","Sedan",2,"consume"
132,98990,514771,"Services",40,9,9,"Massachusetts","LuxurySedan",3,"entertain"
133,69874,473669,"Govt",45,5,9,"Vermont","Compact/Hybrid",5,"entertain"
134,116764,472436,"Manufacturing",56,10,10,"Maine","SUV",3,"consume"
135,86218,445154,"Services",44,4,12,"Maine","LuxurySedan",4,"consume"
136,127371,503601,"Services",45,4,12,"Rhode Island","Sedan",2,"entertain"
137,165824,608389,"Tech",48,2,8,"Ontario","Pickup",4,"entertain"
138,119339,492579,"Tech",48,5,15,"Maine","SUV",5,"consume"
139,87571,492334,"Services",41,5,11,"Maine","LuxurySedan",6,"consume"
140,123564,499870,"Finance",45,2,15,"Maine","LuxurySedan",5,"entertain"
141,75318,359121,"Finance",47,6,16,"Maine","Compact/Hybrid",2,"consume"
142,87269,407361,"Services",49,4,11,"New Hampshire","Sedan",2,"consume"
143,93323,444002,"Manufacturing",47,4,11,"Ontario","LuxurySedan",3,"entertain"
144,70835,476546,"Govt",39,5,16,"Massachusetts","LuxurySedan",5,"consume"
145,77066,448743,"Govt",47,7,10,"New Hampshire","Sedan",2,"entertain"
146,56851,352229,"Tech",47,6,12,"Quebec","LuxurySedan",4,"entertain"
147,107539,449669,"Tech",41,5,12,"Quebec","Sedan",7,"consume"
148,81977,455440,"Education",43,7,12,"New Hampshire","SUV",4,"consume"
149,80502,483216,"Education",51,7,11,"Maine","LuxurySedan",2,"consume"
150,44139,400711,"Education",47,4,16,"New Hampshire","SUV",2,"consume"
151,102194,444295,"Finance",49,4,16,"Massachusetts","SUV",4,"consume"
152,88549,386969,"Education",49,2,15,"Maine","SUV",2,"consume"
153,98038,423891,"Finance",44,2,6,"Massachusetts","LuxurySedan",1,"entertain"
154,118177,581616,"Services",50,4,16,"Quebec","SUV",3,"consume"
155,87771,491010,"Govt",47,3,13,"Maine","SUV",7,"entertain"
156,75281,509920,"Govt",54,4,9,"Maine","Compact/Hybrid",2,"consume"
157,70700,485746,"Govt",41,1,41,"Maine","LuxurySedan",3,"consume"
158,88221,529474,"Govt",44,3,13,"Maine","LuxurySedan",1,"consume"
159,135369,410071,"Finance",42,6,11,"Quebec","Sedan",5,"entertain"
160,144306,450397,"Tech",48,3,15,"Vermont","SUV",4,"consume"
161,89812,506649,"Education",48,8,18,"Maine","Pickup",4,"entertain"
162,62391,392696,"Manufacturing",52,6,14,"New Hampshire","SUV",4,"consume"
163,95523,344066,"Finance",47,4,4,"Maine","SUV",5,"consume"
164,55615,431195,"Govt",42,4,13,"Maine","SUV",2,"consume"
165,76951,447922,"Education",43,4,13,"Massachusetts","Sedan",4,"consume"
166,83523,527487,"Services",41,1,41,"Vermont","SUV",5,"consume"
167,104400,583775,"Finance",38,5,16,"Maine","Sedan",5,"entertain"
168,143771,465772,"Tech",49,4,9,"Maine","SUV",4,"entertain"
