householdID,total_ppl,own_rent,square_foot,household_income,number_pets,region,entertainment_spend_est,travel_spend_est,under_12,LL_passholder
1,1.0,own,3309,82050.03,1,South Shore,3189.11,3083.41,1.0,Yes
2,1.0,own,3814,83077.81,2,MetroWest,4175.35,4713.28,1.0,Yes
3,2.0,rent,2592,91401.41,2,North Shore,1814.98,3479.07,2.0,No
4,1.0,own,2628,73048.55,1,Middlesex,1945.14,3842.42,1.0,No
5,1.0,rent,2442,89145.36,2,Suffolk,4410.86,1913.28,1.0,Yes
6,1.0,own,1178,92344.81,2,Suffolk,3367.13,4921.84,1.0,No
7,1.0,own,3022,94399.56,1,Middlesex,3856.93,5157.12,1.0,No
8,2.0,own,2421,83902.08,1,South Shore,4451.73,4508.93,2.0,No
9,1.0,own,2657,112051.67,1,Suffolk,3015.27,4299.74,1.0,No
10,2.0,own,4298,101445.28,4,Suffolk,4478.24,3997.68,2.0,No
11,3.0,own,4708,97666.06,1,South Shore,2826.34,4870.36,3.0,No
12,2.0,rent,3966,109048.64,1,MetroWest,4551.62,4805.22,2.0,No
13,1.0,own,3302,121378.79,3,MetroWest,6396.56,4668.72,1.0,No
14,1.0,rent,2977,39620.95,2,Middlesex,1657.45,5429.62,1.0,Yes
15,2.0,rent,3996,105516.04,2,South Shore,4266.7,3781.11,2.0,Yes
16,2.0,rent,1681,121183.62,1,MetroWest,4415.16,3405.64,2.0,No
17,1.0,own,3354,49728.6,1,North Shore,2491.51,3759.52,1.0,Yes
18,1.0,own,4251,92124.74,1,Suffolk,4476.1,3433.46,1.0,No
19,2.0,own,4111,38532.24,2,South Shore,5906.16,4548.81,2.0,No
20,1.0,own,3971,104615.91,2,MetroWest,5372.04,4021.35,1.0,No
21,2.0,own,1948,51596.93,2,North Shore,1627.48,3664.58,2.0,No
22,1.0,rent,3260,82834.94,0,Suffolk,2827.36,3931.38,1.0,No
23,1.0,own,3835,83399.83,3,MetroWest,5075.14,4070.28,1.0,No
24,1.0,own,4168,73040.74,1,Suffolk,6636.5,4185.9,1.0,No
25,1.0,rent,4181,89283.31,2,MetroWest,7016.97,5750.25,1.0,No
26,2.0,own,2899,99886.97,3,South Shore,3190.18,2813.23,2.0,No
27,1.0,own,4143,62371.14,1,North Shore,857.1,3357.78,1.0,No
28,1.0,rent,2502,73913.25,2,South Shore,1660.45,3111.95,1.0,No
29,1.0,own,4137,125197.6,0,Middlesex,2353.21,4284.93,1.0,No
30,1.0,own,2324,114579.97,1,MetroWest,5086.29,3654.69,1.0,Yes
31,2.0,own,3707,74197.02,3,Middlesex,1914.83,3669.04,2.0,No
32,2.0,own,2066,91318.89,2,South Shore,2290.85,3111.88,2.0,No
33,2.0,own,1997,45071.95,2,North Shore,2226.42,3163.56,2.0,No
34,1.0,own,3756,51181.94,2,North Shore,2816.94,3367.84,1.0,No
35,2.0,own,3499,114003.25,1,Middlesex,1114.42,5383.37,2.0,No
36,1.0,rent,2204,83151.78,2,North Shore,2208.3,2095.28,1.0,No
37,2.0,rent,1813,124209.37,2,South Shore,2294.32,4197.15,2.0,Yes
38,2.0,rent,2622,105156.95,2,MetroWest,3987.61,3373.27,2.0,No
39,1.0,own,3746,95587.8,2,South Shore,3532.26,4840.07,1.0,No
40,1.0,own,3881,91616.19,1,Suffolk,3418.12,3526.26,1.0,No
41,1.0,own,4222,105698.53,1,Suffolk,2581.01,4663.57,1.0,No
42,1.0,own,2802,78910.17,3,Middlesex,2684.58,3770.22,1.0,Yes
43,1.0,own,2602,84314.56,1,Suffolk,5980.83,3134.21,1.0,No
44,0.0,own,3072,91295.03,2,Suffolk,3757.74,3749.23,0.0,No
45,1.0,own,2633,71687.11,1,South Shore,3031.05,4129.41,1.0,No
46,1.0,own,3081,51217.84,2,Middlesex,2683.14,2625.33,1.0,No
47,1.0,own,2573,115342.66,1,Middlesex,1786.86,4232.58,1.0,No
48,1.0,own,3792,124845.0,1,Middlesex,2613.71,4241.42,1.0,No
49,2.0,own,1605,87586.51,0,Middlesex,3719.21,4402.49,2.0,No
50,2.0,own,3825,129461.3,3,MetroWest,4085.34,4480.62,2.0,No
51,2.0,rent,2393,57665.1,3,MetroWest,4192.97,3846.32,2.0,Yes
52,1.0,rent,3973,84124.83,2,MetroWest,3608.13,5240.65,1.0,Yes
53,2.0,own,2948,52866.46,1,North Shore,1781.09,3185.45,2.0,No
54,1.0,own,2225,95225.02,3,MetroWest,5780.25,4744.34,1.0,No
55,2.0,own,1581,84595.78,2,North Shore,449.02,1391.03,2.0,No
56,2.0,rent,3029,107031.03,0,Middlesex,2092.33,3447.99,2.0,No
57,2.0,own,3456,66679.9,0,North Shore,3543.85,3658.36,2.0,No
58,1.0,own,2696,76969.76,2,Middlesex,4108.93,4856.03,1.0,No
59,1.0,own,2342,93354.7,3,MetroWest,4713.31,4720.08,1.0,Yes
60,1.0,own,2573,100663.01,2,MetroWest,4685.61,4141.31,1.0,Yes
61,2.0,own,3590,86076.97,2,Middlesex,3211.25,5577.1,2.0,No
62,1.0,own,3655,83571.63,2,South Shore,3782.59,4543.39,1.0,No
63,2.0,own,2576,95354.06,2,MetroWest,4057.87,3738.3,2.0,Yes
64,2.0,rent,1616,98882.57,2,South Shore,3217.78,3765.29,2.0,No
65,3.0,own,1485,104793.07,2,MetroWest,5094.94,4397.54,3.0,No
66,1.0,own,2288,84726.62,2,MetroWest,5431.45,4613.99,1.0,Yes
67,2.0,own,3944,46067.58,2,North Shore,1683.31,3158.87,2.0,No
68,2.0,own,2877,45566.18,2,Middlesex,3916.62,2965.38,2.0,No
69,3.0,own,2754,140829.6,3,MetroWest,3425.78,5000.62,3.0,No
70,3.0,own,2759,94406.7,0,Middlesex,3998.95,3041.99,3.0,No
71,2.0,own,1849,115214.12,1,MetroWest,2856.36,3844.4,2.0,No
72,1.0,own,3623,37704.22,2,North Shore,1872.02,2864.29,1.0,Yes
73,0.0,rent,2988,97785.92,2,MetroWest,4566.09,4223.6,0.0,No
74,1.0,own,1505,148025.59,0,MetroWest,6309.31,4006.89,1.0,No
75,1.0,rent,2764,91830.78,1,Suffolk,3264.46,4074.65,1.0,No
76,1.0,own,2202,100654.49,3,South Shore,3845.82,4451.28,1.0,No
77,2.0,own,2732,67531.13,2,North Shore,1668.55,3126.3,2.0,Yes
78,2.0,own,2883,122894.51,1,North Shore,3427.7,3586.51,2.0,No
79,2.0,own,2364,96644.99,1,South Shore,3402.31,4517.23,2.0,No
80,2.0,own,1703,73085.84,1,Suffolk,3672.47,3609.78,2.0,No
81,2.0,own,1961,81296.02,2,North Shore,3488.7,2865.11,2.0,No
82,0.0,rent,3110,89953.06,2,Suffolk,2265.48,2776.46,0.0,No
83,3.0,own,2439,43610.37,2,North Shore,2322.13,3681.27,3.0,No
84,1.0,own,2583,101171.17,1,South Shore,2658.26,4625.23,1.0,No
85,1.0,own,2003,42954.64,1,North Shore,3392.51,3474.32,1.0,No
86,1.0,rent,4293,123560.65,0,MetroWest,5235.75,4982.4,1.0,Yes
87,2.0,rent,2572,96012.25,2,Middlesex,2876.77,3399.35,2.0,No
88,3.0,rent,2050,92424.1,1,MetroWest,4136.74,3784.51,3.0,No
89,2.0,own,2769,86300.19,1,South Shore,2747.11,2387.02,2.0,No
90,0.0,rent,2932,79913.22,1,Suffolk,2287.42,2727.86,0.0,No
91,2.0,own,1870,94880.33,2,Middlesex,2902.98,4990.76,2.0,No
92,0.0,own,2062,112837.0,1,Middlesex,1079.02,5405.02,0.0,No
93,2.0,own,4085,62599.15,2,North Shore,1738.9,3965.89,2.0,No
94,1.0,rent,2702,124664.75,1,MetroWest,4432.2,3384.42,1.0,No
95,2.0,rent,2841,113100.3,2,MetroWest,4597.14,3718.27,2.0,No
96,3.0,own,5026,127741.24,1,MetroWest,7351.24,4841.52,3.0,No
97,1.0,own,2903,94628.0,2,South Shore,2594.95,3612.33,1.0,No
98,1.0,own,3441,68445.01,1,South Shore,5092.33,4554.21,1.0,No
99,2.0,own,3360,48699.37,1,South Shore,2840.9,4488.12,2.0,No
100,0.0,rent,3289,61034.16,2,Suffolk,3424.36,4484.22,0.0,No
101,2.0,own,2773,114631.83,2,MetroWest,4513.73,3459.08,2.0,Yes
102,1.0,rent,2311,112393.5,3,Suffolk,3732.73,3327.7,1.0,No
103,0.0,rent,3720,103043.23,1,Suffolk,3500.49,4593.68,0.0,No
104,1.0,own,3544,90328.54,1,South Shore,3839.03,4619.0,1.0,Yes
105,1.0,own,2444,97297.73,2,Middlesex,3018.22,4402.62,1.0,No
106,3.0,rent,3000,100240.04,1,MetroWest,4915.53,4097.64,3.0,No
107,1.0,rent,3627,117399.2,0,MetroWest,5351.86,4036.2,1.0,No
108,1.0,own,3547,85101.47,1,South Shore,4373.51,3806.74,1.0,No
109,1.0,rent,1897,36465.76,2,Middlesex,3725.75,3089.09,1.0,No
110,1.0,rent,2425,113066.62,2,South Shore,4169.46,3327.88,1.0,Yes
111,1.0,own,1843,85553.83,1,North Shore,2631.31,2714.94,1.0,No
112,2.0,own,2774,77672.42,3,Middlesex,3358.14,3963.56,2.0,No
113,2.0,own,3782,44179.84,2,North Shore,2593.27,4141.99,2.0,No
114,1.0,own,3630,74088.24,2,MetroWest,4163.68,3827.14,1.0,Yes
115,2.0,own,3088,147295.1,0,MetroWest,5784.47,4515.26,2.0,No
116,2.0,own,4044,98954.35,2,MetroWest,5953.13,4934.65,2.0,No
117,2.0,rent,2044,29918.47,3,North Shore,1641.42,4088.91,2.0,Yes
118,1.0,own,2794,69009.43,2,Suffolk,3500.53,4035.89,1.0,No
119,1.0,rent,3476,67730.9,2,North Shore,2639.38,4364.07,1.0,No
120,1.0,own,2627,54812.47,1,South Shore,3564.34,3638.98,1.0,Yes
121,3.0,own,4320,75703.71,1,Middlesex,1965.19,3982.31,3.0,No
122,1.0,own,4199,107544.91,1,South Shore,2929.03,3955.93,1.0,No
123,1.0,own,1593,70107.25,2,Suffolk,3917.81,3782.22,1.0,Yes
124,1.0,own,2209,81898.13,1,South Shore,3965.83,3473.01,1.0,No
125,2.0,rent,2755,80505.02,1,North Shore,2497.14,4033.28,2.0,No
126,2.0,own,2567,60364.48,2,North Shore,3690.06,3567.82,2.0,No
127,1.0,rent,3018,68062.33,1,North Shore,2619.71,3671.35,1.0,No
128,1.0,own,2410,82678.33,1,MetroWest,3674.88,3968.53,1.0,Yes
129,2.0,own,2467,35484.26,3,North Shore,3220.89,4451.44,2.0,Yes
130,1.0,own,2498,82551.51,1,North Shore,1061.59,3824.89,1.0,Yes
131,2.0,rent,3210,56546.56,1,Middlesex,3830.64,5361.18,2.0,No
132,1.0,own,2151,98461.82,0,Suffolk,3581.33,3458.24,1.0,No
133,1.0,rent,3425,120887.89,1,MetroWest,5780.19,4169.77,1.0,No
134,2.0,rent,2522,90680.77,1,South Shore,1831.54,3340.21,2.0,No
135,1.0,own,4290,89509.17,1,Suffolk,4633.82,5223.8,1.0,No
136,1.0,own,3788,102306.58,0,Suffolk,3863.79,4052.21,1.0,No
137,1.0,own,1556,49046.08,1,North Shore,2237.96,2447.47,1.0,No
138,0.0,rent,2394,75001.07,0,Suffolk,2089.37,3026.84,0.0,Yes
139,3.0,own,2191,78080.87,2,South Shore,3540.18,4421.66,3.0,No
140,1.0,own,3890,83369.39,2,South Shore,2921.79,4316.22,1.0,No
141,2.0,rent,3231,31034.96,1,North Shore,1634.12,3145.22,2.0,Yes
142,2.0,own,4207,68455.87,3,North Shore,2342.79,3681.18,2.0,No
143,2.0,rent,2405,98420.98,2,Middlesex,3201.67,3680.69,2.0,No
144,3.0,rent,2275,76759.67,2,Middlesex,2628.04,3692.27,3.0,No
145,1.0,own,3041,121425.8,2,MetroWest,5412.31,4482.65,1.0,No
146,0.0,rent,2143,91007.29,1,Suffolk,4297.22,3851.15,0.0,No
147,2.0,own,2687,29703.11,2,South Shore,2092.87,3842.94,2.0,Yes
148,3.0,rent,3618,110052.11,2,MetroWest,5398.26,2717.34,3.0,No
149,3.0,own,4158,63479.45,2,Middlesex,3519.33,4541.5,3.0,No
150,0.0,own,1898,89137.53,2,Suffolk,2346.42,3864.83,0.0,No
151,2.0,rent,4294,64960.62,3,North Shore,2783.16,2793.51,2.0,No
152,1.0,own,3049,132172.22,2,Suffolk,5133.71,3918.79,1.0,No
153,0.0,own,4298,129051.23,2,Suffolk,3810.24,4449.93,0.0,No
154,3.0,own,2415,66183.65,1,Middlesex,4319.24,3149.56,3.0,No
155,1.0,own,2726,74246.02,1,North Shore,2113.42,3447.02,1.0,No
156,0.0,own,3654,86711.23,1,Suffolk,3385.59,4856.98,0.0,No
157,1.0,rent,2135,76433.51,1,Suffolk,4564.03,4146.44,1.0,No
158,3.0,rent,2344,95116.24,3,Middlesex,2610.76,4019.0,3.0,No
159,1.0,rent,2200,68547.0,0,Middlesex,3172.77,4079.33,1.0,No
160,2.0,rent,4187,115772.82,2,MetroWest,5239.72,4371.61,2.0,No
161,3.0,own,4549,91090.17,2,South Shore,3033.4,3529.48,3.0,No
162,1.0,own,2657,64727.96,0,North Shore,3177.27,2903.51,1.0,No
163,1.0,own,2744,60046.34,2,North Shore,1434.94,3082.82,1.0,No
164,2.0,own,3327,112979.45,2,Suffolk,3235.85,3608.18,2.0,Yes
165,2.0,own,2846,83672.59,2,MetroWest,5236.71,3757.68,2.0,No
166,2.0,own,1958,49361.87,2,North Shore,2453.91,3510.52,2.0,Yes
167,1.0,own,3221,81749.24,1,Suffolk,3995.36,4268.42,1.0,Yes
168,2.0,rent,2737,51303.21,1,North Shore,1974.86,3515.59,2.0,Yes
169,2.0,own,4475,55026.99,3,South Shore,2291.06,3505.22,2.0,No
